代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,股價,董監持股,ROE_Test,EPS_Test,毛利率_Test,現金殖利率_Test,股價_Test,董監持股_Test,符合數量,正負樣本
2101,南港,4.76,0.64,18.67,1.24,38.65,4.28,0,1,0,0,1,0,2,-1
2102,泰豐,-13.11,-2.1,2.03,0.61,21.15,34.75,0,0,0,0,1,1,2,-1
2103,台橡,8.7,1.63,13.4,3.76,27.65,14.15,0,1,0,0,1,1,3,0
2105,正新,5.89,1.47,22.8,3.61,34.9,8.1,0,1,1,0,1,0,3,0
2106,建大,4.11,0.88,20.6,2.8,32.9,25.02,0,1,1,0,1,1,4,0
2107,厚生,4.76,1.5,28.75,4.53,21.4,24.6,0,1,1,0,1,1,4,0
2108,南帝,28.01,5.98,33.14,7.85,40.5,38.06,1,1,1,1,1,1,6,1
2109,華豐,1.21,-0.21,20.27,2.57,14.8,14.9,0,0,1,0,1,1,3,0
2114,鑫永銓,21.09,7.26,38.13,4.86,111,15.5,1,1,1,0,0,1,4,0
2115,六暉-KY,14.16,3.86,23.74,5.12,32,7.72,1,1,1,1,1,0,5,1
2201,裕隆,-1.34,-1.21,20.43,2.01,42.35,35.88,0,0,1,0,1,1,3,0
2204,中華,5.69,3.39,16.53,7.46,47.2,47.64,0,1,0,1,1,1,4,0
2208,台船,-34.07,-4.81,-12.94,3.68,17.95,41.2,0,0,0,0,1,1,2,-1
2227,裕日車,27.83,19.59,15.16,8.65,202.5,87.83,1,1,0,1,0,1,4,0
2228,劍麟,10.85,5.4,25.65,4.9,74.7,25.59,1,1,1,0,1,1,5,1
2231,為升,19.07,6.75,46.26,2.95,165,23.1,1,1,1,0,0,1,4,0
2233,宇隆,14.97,7.08,35.72,3.74,108,4.74,1,1,1,0,0,0,3,0
2236,百達-KY,7.23,2.01,26.51,4.81,21.6,20.94,0,1,1,0,1,1,4,0
2239,英利-KY,8.89,6.96,17.57,4.02,75.8,39.02,0,1,0,0,1,1,3,0
2241,艾姆勒,0.65,0.03,20.48,0.91,33,12.99,0,1,1,0,1,1,4,0
2243,宏旭-KY,-14.02,-2.15,3.88,2,15,26.5,0,0,0,0,1,1,2,-1
2247,汎德永業,10.21,12.79,11.81,4.59,204.5,35.06,1,1,0,0,0,1,3,0
2301,光寶科,11.79,3.78,15.46,3.67,68.7,5.9,1,1,0,0,1,0,3,0
2302,麗正,2.15,0.22,33.9,1.46,17.75,25.73,0,1,1,0,1,1,4,0
2303,聯電,8.17,1.84,20.69,3.41,39.3,6.32,0,1,1,0,1,0,3,0
2305,全友,5.45,0.52,32.17,0,35.55,21.54,0,1,1,0,1,1,4,0
2308,台達電,14.87,8.62,28.26,1.94,268,7.33,1,1,1,0,0,0,3,0
2312,金寶,1.94,0.23,6.31,2.15,13,9.28,0,1,0,0,1,0,2,-1
2313,華通,15.24,3.29,16.66,2.53,51.4,9.26,1,1,0,0,1,0,3,0
2314,台揚,-3.21,-0.28,15.39,0.2,48.9,23.97,0,0,0,0,1,1,2,-1
2316,楠梓電,4.89,1.79,6.69,6.19,27.45,19.61,0,1,0,1,1,1,4,0
2317,鴻海,9.97,8.35,6.06,3.63,107,12.58,0,1,0,0,0,1,2,-1
2321,東訊,-8.72,-0.42,14.59,0,6.34,30.87,0,0,0,0,1,1,2,-1
2323,中環,-0.23,0.01,13.57,2.59,7.72,9.14,0,1,0,0,1,0,2,-1
2324,仁寶,8.35,2,3.39,6.26,23,5.45,0,1,0,1,1,0,3,0
2327,國巨,33.2,37.27,42.28,5.55,335,7.57,1,1,1,1,0,0,4,0
2328,廣宇,8.46,1.75,9.52,2.66,34.15,3.91,0,1,0,0,1,0,2,-1
2330,台積電,25.2,16.61,49.94,0.58,475,6.56,1,1,1,0,0,0,3,0
2331,精英,0.8,0.15,9.57,9.52,25.2,31.03,0,1,0,1,1,1,4,0
2332,友訊,2.48,0.27,28.43,1.61,17.4,5.3,0,1,1,0,1,0,3,0
2337,旺宏,22.32,3.82,35.49,3.97,32.25,2.76,1,1,1,0,1,0,4,0
2338,光罩,9.96,2.37,19.99,1.57,71.8,7.44,0,1,0,0,1,0,2,-1
2340,台亞,8.63,1.58,30.33,5.08,36.4,23.97,0,1,1,1,1,1,5,1
2342,茂矽,1.96,0.33,18.34,0.61,40.85,31.36,0,1,0,0,1,1,3,0
2344,華邦電,9.29,1.5,33.79,3.11,21.2,30.14,0,1,1,0,1,1,4,0
2345,智邦,33.7,7.29,19.57,1.98,270.5,1.77,1,1,0,0,0,0,2,-1
2347,聯強,17.49,5.39,4.09,5.39,56,22.61,1,1,0,1,1,1,5,1
2348,海悅,35.13,8.96,53.14,5.28,72.9,13.5,1,1,1,1,1,1,6,1
2349,錸德,-10.62,-1.19,9.03,0,8.15,3.27,0,0,0,0,1,0,1,-1
2351,順德,11.94,3.56,17.99,2.02,118,9.92,1,1,0,0,0,0,2,-1
2352,佳世達,13.25,2.66,13.25,4.79,29,17.6,1,1,0,0,1,1,4,0
2353,宏碁,8.39,1.69,10.89,5.56,21.75,3.67,0,1,0,1,1,0,3,0
2354,鴻準,6.22,5.01,8.45,5.32,48.1,0.83,0,1,0,1,1,0,3,0
2355,敬鵬,3.4,1.36,8.78,3.19,29.75,11.66,0,1,0,0,1,1,3,0
2356,英業達,9.33,1.83,4.61,6.55,23.5,12.46,0,1,0,1,1,1,4,0
2357,華碩,10.76,27.74,16.39,9,249,5.7,1,1,0,1,0,0,3,0
2358,廷鑫,4.56,0.56,8.49,0.73,15,10.53,0,1,0,0,1,1,3,0
2359,所羅門,4.09,1.03,20.42,3.28,26.2,23.75,0,1,1,0,1,1,4,0
2360,致茂,18.32,6.53,47.09,2.51,184.5,4.96,1,1,1,0,0,0,3,0
2362,藍天,2.77,1.87,22.77,2.84,34.9,9.1,0,1,1,0,1,0,3,0
2363,矽統,-2.25,-0.28,33.86,3.12,18.6,24.31,0,0,1,0,1,1,3,0
2364,倫飛,-16.2,-0.13,25.9,0.21,96.1,31.9,0,0,1,0,0,1,2,-1
2365,昆盈,3.05,0.42,25.66,2.59,10.8,6.26,0,1,1,0,1,0,3,0
2367,燿華,2.8,0.48,10.1,2.44,23.75,6.61,0,1,0,0,1,0,2,-1
2369,菱生,0.54,0.05,7.75,3.69,14.9,4.71,0,1,0,0,1,0,2,-1
2371,大同,-17.63,-0.47,12.53,0,32.95,1.57,0,0,0,0,1,0,1,-1
2373,震旦行,19.07,6.43,44.02,7.23,83,52.63,1,1,1,1,0,1,5,1
2374,佳能,-0.73,-0.3,15.2,2.74,22.6,10.52,0,0,0,0,1,1,2,-1
2376,技嘉,17.5,7.88,18.11,6.08,86.2,10.79,1,1,0,1,0,1,4,0
2377,微星,24.44,9.81,14.88,5.18,117,13.95,1,1,0,1,0,1,4,0
2379,瑞昱,28.07,15.78,44.91,3.89,331.5,6.21,1,1,1,0,0,0,3,0
2380,虹光,-20.98,-1.88,21.49,1.25,13.55,8.84,0,0,1,0,1,0,2,-1
2382,廣達,14.37,5.42,5.15,5.63,79.8,13.04,1,1,0,1,1,1,5,1
2383,台光電,23.94,10.44,24.25,3.69,170,9.23,1,1,1,0,0,0,3,0
2385,群光,19.26,7.22,17.11,6.3,81.7,10.47,1,1,0,1,0,1,4,0
2387,精元,7.13,2.65,13.33,3.79,39.1,32.21,0,1,0,0,1,1,3,0
2388,威盛,21.42,3.58,31.22,0.45,79.5,9.43,1,1,1,0,1,0,4,0
2390,云辰,6.63,1.06,17.01,2.46,14.25,29.14,0,1,0,0,1,1,3,0
2392,正崴,4.13,2.77,10.25,5.49,36.45,20.25,0,1,0,1,1,1,4,0
2393,億光,6.94,2.71,24.6,6.16,37.85,7,0,1,1,1,1,0,4,0
2395,研華,22.62,9.69,38.82,2.31,313.5,29.92,1,1,1,0,0,1,4,0
2397,友通,14.27,4.67,26.89,7.42,56.9,45.08,1,1,1,1,1,1,6,1
2399,映泰,4.17,0.41,12.95,4.98,14.05,7.53,0,1,0,0,1,0,2,-1
2401,凌陽,6.04,0.66,44.1,3.14,24.85,17.36,0,1,1,0,1,1,4,0
2402,毅嘉,1.48,0.28,9.32,4.5,18,14.22,0,1,0,0,1,1,3,0
2404,漢唐,31.97,13,17.08,7.49,158,9.02,1,1,0,1,0,0,3,0
2405,浩鑫,-0.13,-0.02,25.12,1.73,15,7.34,0,0,1,0,1,0,2,-1
