代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,現金股利,成交價,董監持股,現金殖利率,ROE_5YF,EPS_5YF,毛利率_5YF,現金殖利率_F,股價_F,董監持股_F,Sum,判斷
4763,材料-KY,21.76,6.26,28.13,3.68,129.5,56.78,2.84,1,1,1,0,0,1,4,1
4764,雙鍵,15.77,4.37,21.9,1.92,49.9,9.54,3.85,1,1,1,0,1,0,4,1
4766,南寶,13.11,9.65,27.62,5.8,136.0,16.72,4.26,1,1,1,0,0,1,4,1
4807,日成-KY,17.13,2.64,25.42,2.43,19.5,43.0,12.46,1,1,1,1,1,1,6,1
4904,遠傳,13.69,2.99,35.22,3.45,68.3,32.94,5.05,1,1,1,1,1,1,6,1
4906,正文,5.58,1.45,11.74,1.29,28.5,4.19,4.53,1,1,0,0,1,0,3,0
4912,聯德控股-KY,16.57,6.79,21.81,0.88,83.1,0.0,1.06,1,1,1,0,0,0,3,0
4915,致伸,15.1,4.46,11.84,2.8,63.6,3.64,4.4,1,1,0,0,1,0,3,0
4916,事欣科,4.69,1.67,21.81,1.29,22.9,16.81,5.63,0,1,1,1,1,1,5,1
4919,新唐,14.66,2.81,39.48,2.39,113.0,52.5,2.12,1,1,1,0,0,1,4,1
4927,泰鼎-KY,10.59,3.81,16.36,2.65,52.6,1.57,5.04,1,1,0,1,1,0,4,1
4930,燦星網,2.31,0.09,16.02,2.62,25.65,44.41,10.21,0,1,0,1,1,1,4,1
4934,太極,-21.05,-2.22,-5.1,0.4,26.05,27.17,1.54,0,0,0,0,1,1,2,0
4935,茂林-KY,9.1,4.48,19.13,2.76,53.5,18.23,5.16,1,1,0,1,1,1,5,1
4938,和碩,9.56,6.51,3.85,4.3,58.2,6.07,7.39,1,1,0,1,1,0,4,1
4942,嘉彰,7.2,3.57,21.3,2.34,33.85,15.2,6.91,1,1,1,1,1,1,6,1
4943,康控-KY,15.14,4.54,33.07,2.45,11.5,30.12,21.3,1,1,1,1,1,1,6,1
4952,凌通,14.79,2.87,34.99,3.02,47.7,34.32,6.33,1,1,1,1,1,1,6,1
4956,光鋐,-1.25,-0.24,17.0,0.5,14.9,19.33,3.36,0,0,0,0,1,1,2,0
4958,臻鼎-KY,13.39,8.01,19.31,4.35,109.0,32.75,3.99,1,1,0,0,0,1,3,0
4960,誠美材,-7.64,-1.44,-0.55,1.15,10.35,2.77,11.11,0,0,0,1,1,0,2,0
4961,天鈺,10.5,2.38,20.13,4.46,100.5,8.25,4.44,1,1,1,0,0,0,3,0
4967,十銓,18.12,2.47,7.96,1.06,0.0,0.0,0.0,1,1,0,0,1,0,3,0
4968,立積,22.32,5.04,34.38,2.3,102.0,8.29,2.25,1,1,1,0,0,0,3,0
4976,佳凌,-1.77,-0.25,8.16,0.75,38.8,21.78,1.93,0,0,0,0,1,1,2,0
4977,眾達-KY,18.0,5.56,25.95,4.16,112.0,18.48,3.71,1,1,1,0,0,1,4,1
4989,榮科,15.6,1.9,13.16,1.51,24.1,62.74,6.27,1,1,0,1,1,1,5,1
4994,傳奇,3.1,0.45,69.19,1.35,38.05,28.89,3.55,0,1,1,0,1,1,4,1
4999,鑫禾,12.24,5.23,33.82,2.8,36.2,17.13,7.73,1,1,1,1,1,1,6,1
5007,三星,15.71,3.23,23.16,2.6,52.6,9.48,4.94,1,1,1,0,1,0,4,1
5203,訊連,7.14,3.31,87.63,2.46,90.1,19.23,2.73,1,1,1,0,0,1,4,1
5215,科嘉-KY,11.78,4.74,25.94,3.9,49.0,11.71,7.96,1,1,1,1,1,1,6,1
5222,全訊,25.18,2.88,50.96,1.7,130.5,8.92,1.3,1,1,1,0,0,0,3,0
5225,東科-KY,1.06,0.45,11.89,0.85,36.1,1.79,2.35,0,1,0,0,1,0,2,0
5234,達興材料,22.24,5.54,32.01,5.06,63.7,0.0,7.94,1,1,1,1,1,0,5,1
5243,乙盛-KY,7.16,2.5,15.29,1.68,65.4,35.58,2.57,1,1,0,0,1,1,4,1
5244,弘凱,11.38,1.82,40.73,1.8,24.3,20.24,7.41,1,1,1,1,1,1,6,1
5258,虹堡,4.63,0.57,26.99,0.81,61.4,16.62,1.32,0,1,1,0,1,1,4,1
5269,祥碩,34.34,17.92,48.21,15.99,713.0,35.34,2.24,1,1,1,0,0,1,4,1
5283,禾聯碩,28.05,11.5,39.3,4.03,104.0,24.46,3.88,1,1,1,0,0,1,4,1
5284,jpp-KY,9.52,3.64,32.84,2.41,51.2,0.0,4.71,1,1,1,0,1,0,4,1
5285,界霖,12.01,2.91,17.42,3.11,67.5,17.7,4.61,1,1,0,0,1,1,4,1
5288,豐祥-KY,19.12,8.1,18.1,4.6,185.0,58.82,2.49,1,1,0,0,0,1,3,0
