代號,公司,股價
2905,三商行,15.3
2906,高林,17.3
2908,特力,19.85
2910,統領,31.95
2911,麗嬰房,7.1
2912,統一超,268.5
2913,農林,23.05
2915,潤泰全,66.9
2916,滿心,23.55
2923,鼎固-KY,22.9
2924,東凌-KY,30.0
2926,誠生,60.0
2929,淘帝-KY,16.6
2937,集雅社,36.7
2939,凱羿-KY,39.1
2945,三商家購,44.6
3002,歐格,11.55
3003,健和興,71.5
3004,豐達,73.1
3005,神基,43.5
3006,晶豪科,70.7
3008,大立光,2190.0
3010,華立,86.6
3011,今皓,14.9
3013,晟銘,19.85
3014,聯陽,75.1
3015,全漢,38.35
3016,嘉晶,74.4
3017,奇鋐,114.0
3019,亞光,63.0
3021,衛展,20.6
3022,威強電,77.0
3023,信邦,283.0
3024,憶聲,13.3
3025,星通,21.2
3026,禾伸堂,89.6
3027,盛達,34.35
3028,增你強,28.45
3029,零壹,40.85
3030,德律,65.6
3031,佰鴻,15.9
3032,偉訓,30.2
3033,威健,26.6
3034,聯詠,295.5
3035,智原,164.0
3036,文曄,62.7
3037,欣興,146.0
3038,全台,21.35
3040,遠見,30.05
3041,揚智,21.75
3042,晶技,84.2
3044,健鼎,97.0
3045,台灣大,95.1
3046,建碁,50.0
3047,訊舟,16.8
3048,益登,27.7
3049,和鑫,9.41
3050,鈺德,17.3
3051,力特,19.0
3052,夆典,10.45
3054,立萬利,19.55
3055,蔚華科,25.05
3056,總太,30.75
3057,喬鼎,10.15
3058,立德,10.1
3059,華晶,36.15
3060,銘異,17.05
3062,建漢,24.7
3064,泰偉,11.35
3066,李洲,23.9
3067,全域,32.3
3071,協禧,25.6
3073,普格,28.65
3078,僑威,27.45
3081,聯亞,119.5
3083,網龍,46.0
3085,久大,10.1
3086,華義,81.7
3088,艾訊,58.6
3089,億杰,49.5
3090,日電貿,51.3
3092,鴻碩,36.6
3093,港建,26.6
3094,聯傑,25.2
3095,及成,36.0
3105,穩懋,148.5
3114,好德,26.45
3115,寶島,11.0
3118,進階,27.85
3122,笙泉,26.6
3128,昇銳,46.75
3130,一零四,202.5
3131,弘塑,232.0
3138,耀登,145.0
3141,晶宏,84.9
3147,大綜,52.4
3149,正達,20.2
3152,璟德,184.5
3162,精確,47.45
3163,波若威,55.1
3164,景岳,26.75
3167,大量,42.4
3169,亞信,108.5
3171,新洲,16.0
3176,基亞,36.85
3178,公準,64.8
3188,安茂微,13.05
3189,景碩,115.0
3191,和進,7.54
3202,樺晟,14.95
3205,佰研,46.85
3206,志豐,29.65
3207,耀勝,52.2
3209,全科,35.85
3211,順達,74.7
3213,茂訊,44.0
3217,優群,81.3
3218,大學光,288.0
3219,倚強,53.4
3221,台嘉碩,26.65
3224,三顧,45.4
3226,至寶電,60.3
3227,原相,96.7
3228,金麗科,189.5
3229,晟鈦,20.15
3230,錦明,13.75
3231,緯創,28.9
3232,昱捷,30.5
3234,光環,25.0
3236,千如,25.45
3252,海灣科,17.7
3257,虹冠電,44.3
3259,鑫創,17.75
3260,威剛,60.1
3264,欣銓,50.2
3265,台星科,46.8
3266,昇陽,11.9
3268,海德威,22.8
3272,東碩,45.95
3276,宇環,12.35
3284,太普高,14.0
3285,微端,18.75
3287,廣寰科,14.4
3288,點晶,24.05
3289,宜特,80.0
3290,東浦,22.8
3293,鈊象,388.5
3294,英濟,18.7
3296,勝德,16.15
3297,杭特,18.65
3303,岱稜,25.9
3305,昇貿,41.7
3306,鼎天,23.45
3308,聯德,14.45
3310,佳穎,41.5
3311,閎暉,33.2
3312,弘憶股,17.65
3313,斐成,9.9
3317,尼克森,57.2
3321,同泰,8.43
3322,建舜電,20.0
3323,加百裕,34.1
3324,雙鴻,156.5
3325,旭品,12.8
3332,幸康,44.3
3338,泰碩,33.45
3339,泰谷,13.1
3346,麗清,36.3
3349,寶德,13.2
3354,律勝,14.0
3356,奇偶,43.6
3357,臺慶科,82.1
3360,尚立,13.6
3362,先進光,78.3
3363,上詮,22.8
3372,典範,11.65
3373,熱映,26.7
3374,精材,102.5
3376,新日興,83.7
3379,彬台,11.75
3380,明泰,30.5
3388,崇越電,71.9
3390,旭軟,18.5
3402,漢科,45.35
3406,玉晶光,371.5
3413,京鼎,192.0
3416,融程電,84.1
3419,譁裕,21.35
3426,台興,37.9
3430,奇鈦科,47.6
3432,台端,20.2
3434,哲固,26.7
3437,榮創,17.65
3438,類比科,51.8
3441,聯一光,41.8
3443,創意,767.0
3444,利機,74.3
3450,聯鈞,38.8
3454,晶睿,213.0
3455,由田,87.2
3465,進泰電子,81.7
3466,致振,29.85
3479,安勤,66.2
3481,群創,11.65
3483,力致,55.7
3484,崧騰,45.5
3489,筌寶,10.3
3490,單井,25.35
3491,昇達科,135.5
3492,長盛,18.8
3494,誠研,12.9
3498,陽程,37.0
3499,環天科,18.55
3501,維熹,51.5
3504,揚明光,82.3
3508,位速,36.1
3511,矽瑪,35.35
3512,能緹,28.85
3515,華擎,130.5
3516,亞帝歐,15.25
3518,柏騰,20.85
3520,振維,20.35
3521,鴻翊,23.2
3522,御頂,10.05
3523,迎輝,18.6
3526,凡甲,120.5
3527,聚積,108.0
3528,安馳,50.4
3529,力旺,1415.0
3530,晶相光,76.9
3531,先益,26.55
3532,台勝科,150.5
3533,嘉澤,883.0
3535,晶彩,23.25
3536,誠創,4.04
3537,堡達,35.1
3540,曜越,28.05
3541,西柏,53.2
3543,州巧,19.9
3545,敦泰,62.5
3546,宇峻,75.7
3548,兆利,59.4
3550,聯穎,14.0
3551,世禾,59.1
3552,同致,154.0
3555,䳯鵬,24.9
3556,禾瑞亞,56.7
3557,嘉威,49.1
3558,神準,221.5
3563,牧德,136.5
3564,其陽,30.05
3567,逸昌,25.8
3570,大塚,89.3
3576,聯合再生,21.0
3577,泓格,86.8
3580,友威科,66.9
3581,博磊,22.65
3583,辛耘,75.9
3587,閎康,167.0
3588,通嘉,59.3
3591,艾笛森,16.85
3592,瑞鼎,294.0
3593,力銘,13.85
3594,磐儀,27.7
3596,智易,101.5
3597,映興,23.15
3605,宏致,32.9
3607,谷崧,12.3
3609,三一東林,50.1
3611,鼎翰,193.0
3615,安可,16.7
3617,碩天,101.0
3622,洋華,28.65
3623,富晶通,15.85
3624,光頡,42.4
3625,西勝,12.9
3628,盈正,42.45
3629,卓韋,40.05
3630,新鉅科,30.25
3631,晟楠,40.6
3632,研勤,10.3
3645,達邁,34.3
3646,艾恩特,23.0
3652,精聯,23.5
3653,健策,384.0
3661,世芯-KY,865.0
3663,鑫科,28.9
3664,安瑞-KY,12.1
3665,貿聯-KY,261.5
3666,光耀,19.2
3669,圓展,46.0
3672,康聯訊,27.3
3673,TPK-KY,30.5
3675,德微,178.5
3679,新至陞,92.0
3680,家登,254.5
3682,亞太電,5.97
3684,榮昌,58.8
3685,元創,21.1
3686,達能,15.0
3687,歐買尬,87.4
3689,湧德,33.7
3691,碩禾,112.5
3693,營邦,107.0
3694,海華,20.0
3701,大眾控,40.5
3702,大聯大,47.35
3703,欣陸,28.35
3704,合勤控,32.8
3705,永信,46.7
3706,神達,29.65
3707,漢磊,93.8
3708,上緯投控,95.6
3709,鑫聯大投控,21.95
3710,連展投控,11.45
3711,日月光投控,96.3
3713,新晶投控,30.15
3714,富采,48.25
4102,永日,40.8
4104,佳醫,65.7
4105,東洋,81.6
4106,雃博,33.85
4107,邦特,116.5
4108,懷特,20.2
4109,穆拉德,14.7
4111,濟生,27.65
4113,聯上,12.0
4114,健喬,51.0
4116,明基醫,71.3
4119,旭富,98.0
4120,友華,37.3
4121,優盛,23.8
4123,晟德,48.3
4126,太醫,80.2
4127,天良,15.0
4128,中天,64.7
4129,聯合骨,44.9
4130,健亞,32.8
4131,晶宇,20.35
4133,亞諾法,42.1
4137,麗豐-KY,194.5
4138,曜亞,62.3
4139,馬光-KY,44.05
4142,國光生,37.1
4147,中裕,71.7
4148,全宇生技-KY,60.2
4153,鈺緯,35.75
4154,康樂-KY,42.4
4155,訊映,27.55
4157,F*太景,17.95
4160,創源,27.7
4161,聿新科,31.0
4162,智擎,124.0
4163,鐿鈦,102.0
4164,承業生,45.55
4167,松瑞藥,22.7
4168,醣聯,35.2
4171,瑞基,57.8
4173,久裕,20.3
4174,浩鼎,74.8
4175,杏一,82.6
4183,福永,20.5
4188,安克,16.15
4190,佐登-KY,79.9
4192,杏國,27.5
4198,環瑞醫,28.4
4205,中華食,102.0
4207,環泰,13.25
4303,信立,15.85
4304,勝昱,10.05
4305,世坤,29.95
4306,炎洲,14.6
4401,東隆興,26.5
4402,福大,10.1
4406,新昕,10.45
4413,飛寶,16.25
4416,三圓,78.0
4417,金洲,39.15
4419,元勝,10.45
4420,光明,30.0
4426,利勤,25.6
4430,耀億,21.7
4432,銘旺實,27.75
4433,興采,30.25
4438,廣越,119.0
4439,冠星-KY,101.5
4440,宜新實業,33.4
4502,源恆,37.25
4503,金雨,35.2
4506,崇友,69.9
4510,高鋒,10.5
4513,福裕,21.65
4523,永彰,40.0
4526,東台,14.6
4527,方土霖,28.95
4528,江興,31.6
4529,淳紳,9.14
4530,宏易創新,6.3
4532,瑞智,16.6
4533,協易機,10.65
4534,慶騰,9.04
4535,至興,38.5
4536,拓凱,193.0
4538,大詠城,19.2
4540,全球傳動,37.7
4541,晟田,31.1
4542,科嶠,26.0
4543,萬在,24.9
4545,銘鈺,28.15
4549,桓達,84.9
4550,長佳,23.75
4551,智伸科,152.5
4552,力達-KY,29.4
4554,橙的,24.95
4555,氣立,50.2
4556,旭然,29.85
4557,永新-KY,101.0
4558,寶緯,23.65
4560,強信-KY,38.4
4561,健椿,21.5
4562,穎漢,15.4
4563,百德,34.6
4564,元翎,23.5
4566,時碩工業,56.7
4568,科際精密,59.0
4571,鈞興-KY,75.3
4572,駐龍,119.0
4576,大銀微系統,71.6
4577,達航科技,31.25
4580,捷流閥業,80.8
4581,光隆精密-KY,34.7
4583,台灣精銳,187.0
4584,君帆,44.45
4609,唐鋒,8.25
4702,中美實,13.1
4706,大恭,17.05
4707,磐亞,12.0
4711,永純,15.0
4712,南璋,4.71
4714,永捷,10.95
4716,大立高,12.4
4720,德淵,14.25
4721,美琪瑪,103.0
4722,國精化,34.4
4726,永昕,40.6
4728,雙美,137.5
4729,熒茂,15.9
4735,豪展,37.1
4736,泰博,176.5
4737,華廣,78.2
4739,康普,100.0
4741,泓瀚,25.9
4743,合一,253.5
4744,皇將,28.05
4745,合富-KY,26.25
4746,台耀,65.9
4747,強生,38.0
4754,國碳科,35.1
4755,三福,130.0
4760,勤凱,48.55
4763,材料-KY,173.0
4764,雙鍵,52.4
4766,南寶,134.5
4767,誠泰科技,26.3
4768,晶呈科技,172.5
4770,上品,308.0
4804,大略-KY,12.3
4806,昇華,6.29
4807,日成-KY,22.4
4903,聯光通,9.93
4904,遠傳,66.8
4905,台聯電,51.0
4906,正文,28.1
4907,富宇,27.8
4908,前鼎,31.7
4909,新復興,16.4
4911,德英,51.3
4912,聯德-KY,78.6
4915,致伸,57.4
4916,事欣科,28.15
4919,新唐,120.0
4923,力士,50.3
4924,欣厚-KY,15.75
4927,泰鼎-KY,59.2
4930,燦星網,26.9
4931,新盛力,50.1
4933,友輝,31.95
4934,太極,29.4
4935,茂林-KY,58.5
4938,和碩,63.2
4939,亞電,15.8
4942,嘉彰,35.8
4943,康控-KY,7.07
4944,兆遠,12.25
4945,陞達科技,48.95
4946,辣椒,51.8
4950,牧東,21.7
4951,精拓科,53.1
4952,凌通,47.35
4953,緯軟,86.0
4956,光鋐,14.85
4958,臻鼎-KY,112.5
4960,誠美材,9.97
4961,天鈺,115.5
4966,譜瑞-KY,797.0
4967,十銓,30.55
4968,立積,118.5
4971,英特磊IET-KY,54.4
4972,湯石,29.65
4973,廣穎,22.1
4974,亞泰,57.2
4976,佳凌,38.3
4977,眾達-KY,106.5
4979,華星光,51.7
4987,科誠,57.7
4989,榮科,26.05
4991,環宇-KY,39.45
4994,傳奇,40.3
4995,晶達,37.85
4999,鑫禾,36.95
5007,三星,51.5
5009,榮剛,36.75
5011,久陽,25.2
5013,強新,35.8
5014,建錩,16.45
5015,華祺,58.1
5016,松和,29.5
5201,凱衛,27.95
5202,力新,14.95
5203,訊連,84.9
5205,中茂,44.6
5206,坤悅,15.2
5209,新鼎,76.7
5210,寶碩,15.15
5211,蒙恬,19.4
5212,凌網,36.65
5213,亞昕,22.35
5215,科嘉-KY,47.5
5220,萬達光電,28.7
5222,全訊,140.5
5223,安力-KY,39.7
5225,東科-KY,37.3
5227,立凱-KY,69.3
5228,鈺鎧,21.5
5230,雷笛克,23.35
5234,達興,71.0
5236,凌陽創新,68.8
5243,乙盛-KY,60.3
5244,弘凱,27.2
5245,智晶,56.5
5251,天鉞電,27.1
5258,虹堡,67.8
5263,智崴,114.5
5269,祥碩,701.0
5272,笙科,26.75
5274,信驊,1950.0
5276,達輝-KY,14.05
5278,尚凡,186.0
5281,大峽-KY,16.8
5283,禾聯碩,103.0
5284,JPP-KY,63.6
5285,界霖,63.8
5287,數字,187.0
5288,豐祥-KY,167.0
5289,宜鼎,187.5
5291,邑昇,33.6
5299,杰力,114.0
5301,寶得利,11.95
5302,太欣,8.6
5306,桂盟,148.0
5309,系統,40.5
5310,天剛,28.1
5312,寶島科,57.8
5314,世紀,17.5
5315,光聯,18.4
5321,友銓,64.3
5324,士開,8.49
5328,華容,10.25
5340,建榮,25.0
5344,立衛,19.5
5345,天揚,5.8
5347,世界,83.8
5348,系通,9.09
5351,鈺創,41.2
5353,台林,29.75
5355,佳總,6.25
5356,協益,20.4
5364,力麗店,23.1
5371,中光電,54.8
5381,合正,5.97
5383,金利,27.15
5386,青雲,34.85
5388,中磊,79.4
5392,能率,20.2
5398,慕康生醫,17.0
5403,中菲,67.9
5410,國眾,32.2
5425,台半,78.7
5426,振發,14.25
5432,達威,30.05
5434,崇越,168.5
5438,東友,16.75
5439,高技,47.55
5443,均豪,30.0
5450,寶聯,17.5
5452,佶優,14.85
5455,昇益開發,33.35
5457,宣德,53.1
5460,同協,11.0
5464,霖宏,25.5
5465,富驊,20.25
5468,凱鈺,17.8
5469,瀚宇博,32.85
5471,松翰,49.65
5474,聰泰,74.0
5475,德宏,11.55
5478,智冠,76.0
5481,新華,12.5
5483,中美晶,153.0
5484,慧友,13.95
5487,通泰,24.9
5488,松普,10.2
5489,彩富,37.25
5490,同亨,21.9
5493,三聯,49.5
5498,凱崴,10.05
5508,永信建,58.3
5511,德昌,30.3
5512,力麒,8.51
