代碼,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,備註
1538,-52.11,-2.39,13.51,0.0,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1802,6.39,1.08,17.92,3.84,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2606,8.2,2.38,17.09,4.92,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2538,-1.26,-0.22,52.92,4.07,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4906,5.52,1.45,10.39,4.04,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8110,3.17,0.69,6.71,2.77,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6225,-159.53,-0.1,-67.76,0.0,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3037,9.12,3.28,14.18,1.03,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5243,7.55,2.62,15.66,2.62,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9928,-23.19,-0.98,-5.87,0.0,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6289,-215.93,-0.51,-108.8,0.0,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2109,1.21,-0.21,20.27,2.57,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6117,-4.85,-0.5,16.15,2.69,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4934,-30.28,-2.89,-8.41,1.39,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2465,7.45,1.21,14.31,0.67,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2317,9.97,8.35,6.06,3.63,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3011,-4.24,-0.44,10.39,0.25,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3047,2.28,-0.11,24.83,2.25,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6442,2.5,0.75,17.44,2.46,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9902,3.04,0.39,5.14,3.15,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1465,7.99,0.43,9.22,4.23,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3149,-7.51,-0.57,-0.35,3.27,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3346,7.92,1.64,17.02,3.77,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1734,-4.48,-0.01,37.54,0.55,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4956,0.19,0.04,17.28,3.02,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6209,-3.93,-0.85,5.26,3.1,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3591,-1.75,-0.46,18.19,1.61,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2913,-0.96,-0.17,38.11,2.36,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2017,3.83,0.61,13.62,2.99,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2516,-8.91,-0.92,-2.15,4.85,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2530,-1.71,-0.22,48.64,3.79,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2032,3.75,0.49,5.59,2.26,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6191,8.48,2.62,15.28,2.87,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2543,-0.29,-0.06,0.65,1.28,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2009,3.31,0.42,2.85,2.97,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2363,-2.25,-0.28,33.86,3.12,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2515,3.98,0.55,7.97,2.94,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1568,4.54,0.69,12.8,1.76,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1219,4.47,0.79,8.7,2.79,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1713,4.6,0.71,13.16,2.61,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1321,3.18,0.9,6.71,0.94,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1809,-0.81,-0.09,19.01,1.72,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6431,-11.05,-1.07,-16.3,4.8,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1413,7.79,0.56,4.13,0.0,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2338,9.96,2.37,19.99,1.57,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2010,4.74,0.81,6.73,4.02,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3494,-24.66,-1.87,5.05,4.57,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3016,5.37,0.76,11.54,0.76,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1517,4.34,0.61,13.63,1.48,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3536,-35.53,-1.17,6.74,0.0,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1457,8.16,1.89,11.57,3.89,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2618,6.23,0.87,13.21,1.06,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1472,-29.36,-2.26,7.4,0.0,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1218,9.53,1.22,17.74,2.52,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2405,-0.13,-0.02,25.12,1.73,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4108,-8.82,-0.87,51.72,0.0,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8429,0.77,0.33,9.29,2.81,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3046,-6.52,-0.95,24.68,0.19,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3543,-0.32,-0.07,13.57,4.24,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3052,4.47,0.66,5.43,4.93,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1423,4.52,0.86,-16.51,4.56,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2402,1.48,0.28,9.32,4.5,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1721,4.47,0.48,7.34,1.66,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
