代碼,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,備註
4536,14.47,8.16,30.88,2.92,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6671,13.09,3.61,37.98,7.44,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1229,10.09,2.66,20.74,3.05,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1436,11.33,3.41,28.63,4.65,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1762,12.28,3.53,40.69,1.83,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6269,14.3,9.09,20.44,5.27,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3583,14.02,4.45,36.77,2.8,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6666,23.82,6.51,62.94,5.14,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
8114,16.93,6.1,34.67,2.96,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3406,16.98,18.52,41.07,1.55,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1216,19.92,4.14,33.73,4.75,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1325,17.53,5.61,27.85,11.43,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6582,28.1,12.43,36.78,11.64,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3338,11.82,2.08,20.95,3.58,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
5306,23.76,10.43,43.51,2.26,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3665,16.11,13.46,23.75,2.69,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3705,10.85,2.62,45.26,4.93,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1773,21.2,6.51,27.35,2.84,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2707,33.93,10.4,31.2,4.36,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2433,12.49,3.9,30.21,7.38,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6230,14.7,6.78,20.01,2.84,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2520,13.23,3.52,27.2,5.86,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2059,14.48,15.7,52.96,1.76,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
8150,14.26,3.74,20.85,5.72,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
4148,10.05,3.0,26.79,2.34,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2049,12.51,10.13,34.45,1.92,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
4137,26.61,13.99,83.16,6.68,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6464,11.99,6.57,48.2,5.07,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6183,14.55,2.12,40.72,2.55,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3022,11.5,3.81,33.82,2.1,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
4968,22.95,5.55,33.42,1.81,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3450,14.13,3.12,24.49,4.62,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
5007,14.77,3.16,22.8,4.94,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6214,10.48,5.6,24.96,6.97,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1101,11.0,3.69,26.64,5.87,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
9939,11.22,5.04,20.14,4.05,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3653,11.97,6.08,28.25,1.17,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1558,14.84,11.51,24.88,7.23,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3130,19.94,9.14,89.83,4.66,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2481,10.05,2.27,24.15,2.06,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2337,22.32,3.82,35.49,3.97,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
4571,18.47,5.73,33.2,3.01,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2614,16.47,1.68,28.14,3.86,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2397,14.27,4.67,26.89,7.42,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2454,12.96,28.02,41.38,4.48,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6670,37.83,14.36,23.89,4.78,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
9926,12.46,2.14,24.86,3.29,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3563,41.34,18.97,64.62,4.79,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6754,13.78,3.61,23.16,5.12,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2441,16.45,4.94,27.33,5.59,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1702,15.7,4.03,33.25,5.07,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3006,18.33,5.8,21.41,4.15,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1231,16.23,3.31,21.73,2.16,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6409,41.13,23.79,27.73,1.35,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6706,25.21,8.2,34.72,4.05,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1227,17.48,3.13,28.16,5.65,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1560,14.61,4.47,30.69,2.12,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
