判斷,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼
6191,8.48,2.62,15.28,2.87,-1,6191
1504,6.14,1.8,23.94,3.6,0,1504
3588,6.58,1.88,35.69,2.12,0,3588
2543,-0.29,-0.06,0.65,1.28,-1,2543
1339,6.77,3.27,28.15,4.64,0,1339
2009,3.31,0.42,2.85,2.97,-1,2009
2106,4.11,0.88,20.6,2.8,0,2106
2363,-2.25,-0.28,33.86,3.12,-1,2363
2515,3.98,0.55,7.97,2.94,-1,2515
1437,7.49,2.23,69.77,2.96,0,1437
1568,4.54,0.69,12.8,1.76,-1,1568
1219,4.47,0.79,8.7,2.79,-1,1219
1713,4.6,0.71,13.16,2.61,-1,1713
1321,3.18,0.9,6.71,0.94,-1,1321
1809,-0.81,-0.09,19.01,1.72,-1,1809
6431,-11.05,-1.07,-16.3,4.8,-1,6431
1413,7.79,0.56,4.13,0.0,-1,1413
2303,8.17,1.84,20.69,3.41,0,2303
2906,3.87,0.25,24.05,2.1,0,2906
2338,9.96,2.37,19.99,1.57,-1,2338
2010,4.74,0.81,6.73,4.02,-1,2010
1722,4.51,2.34,21.9,3.75,0,1722
3494,-24.66,-1.87,5.05,4.57,-1,3494
3016,5.37,0.76,11.54,0.76,-1,3016
6477,9.77,1.87,20.58,1.4,0,6477
1517,4.34,0.61,13.63,1.48,-1,1517
3536,-35.53,-1.17,6.74,0.0,-1,3536
2511,4.61,0.72,25.0,4.58,0,2511
1457,8.16,1.89,11.57,3.89,-1,1457
3050,4.88,0.74,34.66,3.28,0,3050
2618,6.23,0.87,13.21,1.06,-1,2618
1472,-29.36,-2.26,7.4,0.0,-1,1472
3535,1.4,0.17,25.06,2.5,0,3535
1218,9.53,1.22,17.74,2.52,-1,1218
2405,-0.13,-0.02,25.12,1.73,-1,2405
4108,-8.82,-0.87,51.72,0.0,-1,4108
2506,0.99,0.05,41.23,1.83,0,2506
8429,0.77,0.33,9.29,2.81,-1,8429
3025,4.35,0.5,48.73,2.44,0,3025
3046,-6.52,-0.95,24.68,0.19,-1,3046
3543,-0.32,-0.07,13.57,4.24,-1,3543
