代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,ROE_2017,ROE_2018,ROE_2019,ROE_2020,ROE_2021,毛利率_2017,毛利率_2018,毛利率_2019,毛利率_2020,毛利率_2021,負債比_2017,負債比_2018,負債比_2019,負債比_2020,負債比_2021,稅後淨利率_2017,稅後淨利率_2018,稅後淨利率_2019,稅後淨利率_2020,稅後淨利率_2021,現金股利,成交價,董監持股,現金殖利率,ROE_Test,EPS_Test,毛利率_Test,現金殖利率_Test,成交價_Test,董監持股_Test,符合數量,正負樣本
1337,再生-KY,-11.37,-3.06,-24.86,1.84,-21.22,-8.64,-20.53,-8.31,15.07,-53,-21.35,-47.43,-17.59,8.21,6.79,7.78,11.29,3.77,3.97,-128.92,-51.02,-130.22,-41.63,0.23,7.17,14.46,3.21,0,0,0,0,1,1,2,-1
1338,廣華-KY,6.78,5.62,24.05,11.15,7.26,5.83,4.35,5.33,26.41,24.49,25.68,22.61,21.05,30.91,31.93,34.02,36.59,43.63,9.31,6.13,5.27,4.66,4.79,3.6,54,17.29,6.67,0,1,1,1,1,1,5,1
1339,昭輝,6.77,3.27,28.15,7.96,8.37,10.59,3.33,3.58,30.96,26.16,30.33,30.06,23.23,48.6,45.58,32.73,32.33,29.72,9.3,9.97,14.04,5.64,6.66,2,40.65,42.78,4.92,0,1,1,0,1,1,4,0
1340,勝悅-KY,-1.69,-0.24,-13,13.32,2.05,-7.07,-6.91,-9.84,34.39,16.86,-18.48,-39.56,-58.23,5.85,3.51,4.34,2.58,3.18,24.52,6.5,-37.88,-59.38,-78.77,0.94,9.93,0,9.47,0,0,0,1,1,0,2,-1
1341,富林-KY,25.92,5.71,20.87,37.86,18.34,24.02,25.48,23.92,21.65,17.26,20.73,23.57,21.15,63.97,51.2,42.95,42.64,46.24,9.24,5.2,9.31,11.67,10.76,4,65.8,1.64,6.08,1,1,1,1,1,0,5,1
1402,遠東新,5.81,1.95,19.83,5.59,7.03,6.1,4.8,5.51,22.81,19.42,17.89,19.54,19.47,50.55,52.66,52.9,56.33,57.59,6.52,8.04,6.57,6.28,6.22,1.47,32.15,27.07,4.57,0,1,0,0,1,1,3,0
1409,新纖,7.42,1.49,0,3.27,7.91,5.99,9.06,10.86,0,0,0,0,0,75.52,74.31,75.71,75.76,76.37,0,0,0,0,0,0.88,16.55,5.84,5.32,0,1,0,1,1,0,3,0
1410,南染,7.1,1.18,37.42,8.07,8.85,5.53,5.49,7.54,37.76,38.54,36.04,36.43,38.34,17.65,17.55,16.9,17.94,17.03,19.13,22.01,16.65,15.03,18.33,1.18,40.15,17.35,2.94,0,1,1,0,1,1,4,0
1413,宏洲,7.79,0.56,4.13,13.93,23.89,5.87,-14.47,9.72,6.05,7.76,4.98,-4.67,6.53,61.42,51.8,56.4,61.99,59.53,3.71,6.64,2.33,-10.39,3.59,0,10.3,43.25,0,0,1,0,0,1,1,3,0
1414,東和,2.34,0.33,9.5,2.9,1.24,1.18,1.88,4.5,5.32,8.67,1.75,8.95,22.82,30.36,31.68,32.28,29.36,30.17,11.3,3.95,4.6,8.34,17.6,0.3,17.15,0,1.75,0,1,0,0,1,0,2,-1
